Career,a/b testing,adaptability,advanced cad,advanced cad/solidworks,advanced robotics control,advanced robotics control algorithms,advanced sql,airflow,airflow basics,apache spark,arduino basics,autocad,aws,aws basics,aws iam,aws s3,azure,basic ml: logistic regression,basic statistics,bigquery,c++,c++ advanced,c++ basics,c++ expert,cad/solidworks,ci/cd,classification,clustering,communication,compliance,computer vision,control algorithms,control systems advanced,cross-functional collaboration,data engineering,data governance,data modeling basics,data visualization,decision trees,deep learning,docker,embedded systems advanced,embedded systems design,etl,etl pipelines,etl workflows,excel,excel charts,firewalls,gazebo,gcp,git,google data studio,hadoop,hardware debugging,hardware interfacing,hugging face,hugging face transformers,innovation,innovation strategy,java,k-means,kafka,keras,kinematics,kubernetes,leadership,lidar and infrared sensors basics,lidar and vision sensors,lime,linear algebra,linux,linux security,llms,looker,machine learning,machine learning algorithms,machine learning in robotics,mathematics,matlab,matlab basics,matplotlib,mlops,mongodb,motor control basics,mysql,networking basics,neural networks,nlp,nltk,numpy,onnx,opencv,pandas,pid control basics,postgresql,power bi,powershell,predictive modeling,problem solving,project leadership,project management,python,python advanced,python basics,python expert,pytorch,r,raspberry pi basics,redshift,regression,reinforcement learning,robotics control algorithms,ros advanced,ros basics,ros development,rviz,rviz simulation,sas,scala,scala basics,scikit-learn,seaborn,sensor fusion,sensor integration and fusion,shap,simulation (gazebo),snowflake,solidworks,solidworks advanced,spark,spark basics,spark fundamentals,sql,sql optimization,statistics,supervised/unsupervised learning,tableau,team collaboration,team leadership,team management,teamwork,tensorflow,time-series analysis,vmware,windows server
AI Architect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8452380952380951,0.0,0.0,0.0,0.8372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7954545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.7173913043478262,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.7980769230769231,0.0,0.6534653465346535,0.0,0.0,0.0,0.0,0.0,0.0,0.7735849056603774,0.0,0.0,0.0,0.0,0.8547008547008547,0.0,0.0,0.0,0.0,0.0,0.8557692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.8205128205128205,0.0,0.0,0.0,0.9404761904761905,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8820224719101124,0.0,0.0,0.0,0.8737864077669903,0.8854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8505747126436782,0.0,0.0,0.7761194029850745,0.0,0.8571428571428572,0.0,0.8764044943820225,0.0,0.0,0.0,0.0,0.9210526315789473,0.0,0.0,0.0
AI Engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523808,0.0,0.0,0.0,0.8139534883720931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8977272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.8478260869565217,0.8701298701298702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958333333333333,0.9326923076923077,0.0,0.7524752475247524,0.0,0.0,1.0,1.0,0.0,0.0,0.7075471698113207,0.0,0.0,1.0,0.0,0.8974358974358974,0.0,0.0,0.0,1.0,0.0,0.9038461538461539,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.7976190476190477,0.5,0.0,0.0,0.0,1.0,0.9090909090909092,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033707865168539,0.0,0.0,0.0,0.796116504854369,0.8229166666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911764705882353,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8059701492537313,0.0,0.7532467532467533,1.0,0.7865168539325844,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0
AI Product Manager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.8139534883720931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7840909090909092,0.0,0.6956521739130435,0.6753246753246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541666666666666,0.8557692307692307,0.0,0.792079207920792,0.0,0.0,0.0,0.0,0.0,0.0,0.7452830188679246,0.0,0.0,0.0,0.0,0.8034188034188033,0.0,0.0,0.0,0.0,0.0,0.9134615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.717948717948718,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848314606741573,0.0,0.0,0.0,0.8737864077669903,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9215686274509804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793105,0.0,0.0,0.8880597014925372,0.0,0.7922077922077922,0.0,0.9325842696629214,0.0,0.0,0.0,0.0,0.8596491228070176,0.0,0.0,0.0
AI Research Engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857142857142857,0.0,0.0,0.0,0.930232558139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.9204545454545455,0.0,1.0,0.974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958333333333333,0.8076923076923078,0.0,0.7425742574257425,0.0,0.0,0.0,0.0,0.0,0.0,0.8490566037735849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.7948717948717948,0.0,0.0,0.0,0.8452380952380951,0.0,0.0,0.0,0.0,0.0,0.7840909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865168539325844,0.0,0.0,0.0,0.7475728155339806,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8735632183908046,0.0,0.0,0.8507462686567164,0.0,0.6883116883116883,0.0,0.8089887640449438,0.0,0.0,0.0,0.0,0.763157894736842,0.0,0.0,0.0
AI Specialist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7976190476190477,0.0,0.0,0.0,0.7906976744186047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9204545454545455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7826086956521738,0.8701298701298702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8653846153846154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8113207547169811,0.0,0.0,0.0,0.0,0.8205128205128205,0.0,0.0,0.0,0.0,0.0,0.9038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.8205128205128205,0.0,0.0,0.0,0.869047619047619,0.0,0.0,0.0,0.0,0.0,0.6590909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7921348314606741,0.0,0.0,0.0,1.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7549019607843138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.8582089552238806,0.0,0.8051948051948052,0.0,0.9887640449438202,0.0,0.0,0.0,0.0,0.8245614035087719,0.0,0.0,0.0
Computer Vision Engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.8372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.7282608695652174,0.7532467532467533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.7980769230769231,0.0,0.7623762376237623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.7980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7640449438202248,0.0,0.0,0.0,0.941747572815534,0.8229166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9080459770114944,0.0,0.0,0.8656716417910447,0.0,0.8051948051948052,0.0,0.9325842696629214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Data Analyst,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.869047619047619,0.0,0.0,0.0,0.6976744186046512,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,0.0,0.0,0.7613636363636365,0.0,0.7173913043478262,0.948051948051948,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6458333333333334,0.7403846153846154,1.0,0.9108910891089108,0.0,0.0,0.0,0.0,0.0,0.0,0.7641509433962265,0.0,1.0,0.0,0.0,0.9145299145299145,0.0,0.0,0.0,0.0,0.0,0.951923076923077,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9761904761904762,0.0,0.0,1.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8988764044943821,0.0,0.0,0.0,0.9223300970873787,0.84375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8431372549019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9540229885057473,1.0,0.0,0.8134328358208954,0.0,0.948051948051948,0.0,1.0,0.0,0.0,0.0,0.0,0.9298245614035087,1.0,0.0,0.0
Data Engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7142857142857142,1.0,0.0,1.0,0.8139534883720931,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.8068181818181818,0.0,0.9021739130434783,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.7596153846153847,0.0,0.7821782178217821,0.0,0.0,0.0,0.0,0.0,0.0,0.7830188679245284,0.0,0.5,0.0,0.0,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.7788461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.782051282051282,0.0,0.0,0.0,0.869047619047619,1.0,0.0,1.0,0.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651685393258427,0.0,0.0,0.0,0.941747572815534,0.7499999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901960784313727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8045977011494254,0.0,1.0,0.9477611940298507,1.0,1.0,0.0,0.8988764044943821,0.0,0.0,0.0,0.0,0.8859649122807017,0.0,0.0,0.0
Data Scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738095238095238,0.0,0.0,0.0,0.7906976744186047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,0.8260869565217391,0.7792207792207791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7708333333333333,0.8653846153846154,0.0,0.7524752475247524,0.0,0.0,0.0,0.0,0.0,0.0,0.7169811320754716,1.0,0.0,0.0,0.0,0.8376068376068376,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.8846153846153847,0.0,0.0,1.0,0.8928571428571428,0.0,0.0,1.0,0.0,0.0,0.7613636363636365,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7378640776699029,0.8958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8137254901960785,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8505747126436782,0.0,0.0,0.8208955223880596,0.0,0.7662337662337662,0.0,0.9213483146067416,0.0,0.0,0.0,0.0,0.9210526315789473,0.0,0.0,0.0
Deep Learning Engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857142857142857,0.0,0.0,0.0,0.7558139534883722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818181,0.0,0.7717391304347826,0.7532467532467533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8365384615384616,0.0,0.7524752475247524,0.0,0.0,0.0,0.0,0.0,0.0,0.9339622641509435,0.0,0.0,0.0,0.0,0.752136752136752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782051282051282,0.0,0.0,0.0,0.7023809523809523,0.0,0.0,0.0,0.0,0.0,0.7727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033707865168539,0.0,0.0,0.0,0.8932038834951457,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019607843137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9195402298850576,0.0,0.0,0.8656716417910447,0.0,0.7272727272727273,0.0,0.9775280898876404,0.0,0.0,0.0,0.0,0.9122807017543859,0.0,0.0,0.0
