Country,Country_label,dst,Share_of_transitions,src
IND,India,Vice President of Analytics,0.02,Data Scientist
IND,India,Quantitative Analyst,0.04,Data Scientist
IND,India,Python Developer,0.16,Data Scientist
IND,India,Other,0.46,Data Scientist
IND,India,Manager of Artificial Intelligence,0.1,Data Scientist
IND,India,Machine Learning Expert,1.51,Data Scientist
IND,India,Director of Analytics,0.03,Data Scientist
IND,India,Data Specialist,0.19,Data Scientist
IND,India,Data Scientist,2.92,Data Scientist
IND,India,Data Engineer,0.71,Data Scientist
IND,India,Data Consultant,0.26,Data Scientist
IND,India,Data Associate,0.11,Data Scientist
IND,India,Data Architect,0.02,Data Scientist
IND,India,Data Annotator,0.02,Data Scientist
IND,India,Data Analyst,1.93,Data Scientist
IND,India,Business Intelligence Specialist,0.03,Data Scientist
IND,India,Big Data Developer,0.01,Data Scientist
IND,India,Artificial Intelligence Researcher,0.11,Data Scientist
IND,India,Artificial Intelligence Engineer,1.1,Data Scientist
IND,India,Artificial Intelligence Consultant,0.08,Data Scientist
IND,India,Applied Scientist,0.09,Data Scientist
IND,India,Analytics Specialist,0.1,Data Scientist
IND,India,Analytics Manager,0.21,Data Scientist
IND,India,Analytics Consultant,0.14,Data Scientist
IND,India,Analytics Analyst,0.03,Data Scientist
IND,India,Vice President of Analytics,0.01,Data Analyst
IND,India,Quantitative Analyst,0.05,Data Analyst
IND,India,Python Developer,0.14,Data Analyst
IND,India,Other,0.18,Data Analyst
IND,India,Manager of Artificial Intelligence,0.01,Data Analyst
IND,India,Machine Learning Expert,0.31,Data Analyst
IND,India,Director of Analytics,0,Data Analyst
IND,India,Data Specialist,0.57,Data Analyst
IND,India,Data Scientist,2.53,Data Analyst
IND,India,Data Engineer,1.95,Data Analyst
IND,India,Data Consultant,0.25,Data Analyst
IND,India,Data Associate,0.22,Data Analyst
IND,India,Data Architect,0.04,Data Analyst
IND,India,Data Annotator,0.06,Data Analyst
IND,India,Business Intelligence Specialist,0.1,Data Analyst
IND,India,Big Data Developer,0.03,Data Analyst
IND,India,Artificial Intelligence Researcher,0.01,Data Analyst
IND,India,Artificial Intelligence Engineer,0.24,Data Analyst
IND,India,Artificial Intelligence Consultant,0.02,Data Analyst
IND,India,Analytics Specialist,0.17,Data Analyst
IND,India,Analytics Manager,0.28,Data Analyst
IND,India,Analytics Consultant,0.3,Data Analyst
IND,India,Analytics Analyst,0.07,Data Analyst
IND,India,Quantitative Analyst,0,Machine Learning Expert
IND,India,Python Developer,0.07,Machine Learning Expert
IND,India,Other,0.14,Machine Learning Expert
IND,India,Manager of Artificial Intelligence,0.01,Machine Learning Expert
IND,India,Machine Learning Expert,0.36,Machine Learning Expert
IND,India,Data Specialist,0.03,Machine Learning Expert
IND,India,Data Scientist,1.25,Machine Learning Expert
IND,India,Data Engineer,0.16,Machine Learning Expert
IND,India,Data Consultant,0.02,Machine Learning Expert
