row_index,career,split
0,Big Data Engineer,train
1,COBOL Developer,test
2,VLSI Engineer,train
3,MLOps Engineer,train
4,Database Administrator,train
5,Quantitative Analyst,train
6,Automation Engineer,train
7,Product Manager,train
8,GraphQL Developer,train
9,Prompt Engineer,train
10,Security Engineer,train
11,Swift Developer,train
12,NLP Engineer,train
13,Network Security Engineer,train
14,Network Security Engineer,train
15,Machine Learning Engineer,train
16,Fintech Developer,train
17,Embedded Systems Engineer,test
18,IT Auditor,train
19,Backend Developer,train
20,PHP Developer,train
21,Product Designer,train
22,Automation Engineer,train
23,Blockchain Developer,train
24,CTO,train
25,Cybersecurity Analyst,train
26,Scrum Master,test
27,Solutions Engineer,test
28,Flutter Developer,train
29,Data Analyst,test
30,AR/VR Developer,train
31,SOC Analyst,train
32,.NET Developer,train
33,Helpdesk Technician,train
34,Product Manager,train
35,ERP Developer,train
36,Go Developer,train
37,Frontend Developer,train
38,QA Engineer,train
39,Application Security Engineer,train
40,VLSI Engineer,test
41,Operations Research Analyst,test
42,Rust Developer,train
43,Product Manager,train
44,Quantitative Analyst,test
45,Solutions Engineer,train
46,Network Security Engineer,train
47,DevOps Engineer,test
48,COBOL Developer,train
49,Network Security Engineer,train
50,Big Data Engineer,train
51,Enterprise Architect,train
52,Embedded Systems Engineer,train
53,GraphQL Developer,test
54,SEO Specialist,train
55,Android Developer,train
56,SEO Specialist,train
57,IoT Engineer,test
58,IT Support Specialist,test
59,Digital Marketing Tech,train
60,Data Scientist,train
61,Fullstack Developer,train
62,Rust Developer,train
63,Fintech Developer,train
64,DevOps Engineer,train
65,Electronics Engineer,train
66,SEO Specialist,train
67,Electrical Engineer,train
68,Low Code Developer,train
69,Product Designer,train
70,R Developer,test
71,Digital Marketing Tech,train
72,.NET Developer,test
73,Scala Developer,train
74,Penetration Tester,train
75,AI Safety Engineer,test
76,Signal Processing Engineer,train
77,GraphQL Developer,test
78,Data Engineer,test
79,Helpdesk Technician,train
80,Python Developer,train
81,IoT Engineer,test
82,GraphQL Developer,test
83,AR/VR Developer,train
84,Firmware Engineer,train
85,Machine Learning Engineer,train
86,AI Safety Engineer,train
87,AWS Solutions Architect,test
88,Machine Learning Engineer,train
89,IT Support Specialist,train
90,R Developer,train
91,UI/UX Designer,train
92,AR/VR Developer,test
93,MLOps Engineer,train
94,Technical Writer,test
95,Network Engineer,train
96,Low Code Developer,train
97,ERP Developer,train
98,Fintech Developer,test
99,Rust Developer,test
100,Blockchain Developer,train
101,AWS Solutions Architect,train
102,Network Engineer,test
103,AI Engineer,train
104,Penetration Tester,test
105,iOS/Android Cross Platform Developer,train
106,Site Reliability Engineer (SRE),test
107,Automation Engineer,train
108,DevSecOps Engineer,train
109,Technical Project Manager,train
110,MLOps Engineer,train
111,Operations Research Analyst,train
112,Scrum Master,train
113,Application Security Engineer,train
114,MLOps Engineer,train
115,React Native Developer,train
116,Database Administrator,train
117,PHP Developer,train
118,Fintech Developer,train
119,ERP Developer,train
120,Data Engineer,train
121,IT Auditor,train
122,ERP Developer,train
123,React Developer,test
124,Technical Project Manager,test
125,Fullstack Developer,train
126,Java Developer,train
127,AR/VR Developer,test
128,Site Reliability Engineer,train
129,Technical Project Manager,train
130,SEO Specialist,train
131,Frontend Developer,test
132,IoT Developer,train
133,Salesforce Developer,train
134,Network Security Engineer,train
135,Ruby Developer,train
136,Full Stack Machine Learning Engineer,train
137,Site Reliability Engineer,test
138,Solutions Engineer,train
139,Backend Developer,train
140,iOS Developer,train
141,Kubernetes Engineer,train
142,Signal Processing Engineer,test
143,Site Reliability Engineer (SRE),train
144,Computer Vision Engineer,train
145,AWS Solutions Architect,train
146,MLOps Engineer,train
147,Electrical Engineer,train
148,Data Governance Analyst,train
149,React Native Developer,train
150,R Developer,test
151,React Native Developer,test
152,DevSecOps Engineer,train
153,Site Reliability Engineer,train
154,Digital Marketing Tech,train
155,Cybersecurity Analyst,test
156,Swift Developer,train
157,React Developer,train
158,Robotics Engineer,test
159,IT Auditor,train
160,NLP Engineer,train
161,AR/VR Developer,train
162,AI Safety Engineer,train
163,IT Auditor,test
164,SOC Analyst,test
165,PHP Developer,train
166,Frontend Developer,train
167,iOS Developer,train
168,SOC Analyst,train
169,IoT Engineer,test
170,Java Developer,train
171,QA Engineer,train
172,AI Safety Engineer,train
173,Ruby Developer,train
174,Salesforce Developer,train
175,QA Engineer,train
176,Quantitative Analyst,train
177,Full Stack Machine Learning Engineer,train
178,Frontend Developer,train
179,Python Developer,train
180,Fullstack Developer,train
181,Solutions Engineer,train
182,IT Manager,train
183,Automation Engineer,train
184,Game Developer,train
185,Data Analyst,train
186,Full Stack Machine Learning Engineer,train
187,Java Developer,train
188,Data Governance Analyst,train
189,Product Designer,train
190,Machine Learning Engineer,test
191,Enterprise Architect,train
192,Swift Developer,train
193,Blockchain Developer,test
194,IT Manager,test
195,Frontend Developer,train
196,Cybersecurity Analyst,train
197,IT Support Specialist,test
198,Graphic Designer,train
199,Prompt Engineer,train
200,Data Scientist,train
201,Embedded Systems Engineer,train
202,VLSI Engineer,train
203,Cloud Data Engineer,train
204,Helpdesk Technician,test
205,Security Engineer,train
206,Research Scientist (AI),train
207,Prompt Engineer,train
208,Flutter Developer,train
209,Digital Marketing Tech,train
210,Research Scientist (AI),train
211,WordPress Developer,train
212,Embedded Systems Engineer,train
213,Research Scientist (AI),train
214,DevSecOps Engineer,test
215,Java Developer,train
216,Graphic Designer,train
217,Firmware Engineer,train
218,Technical Writer,train
219,Product Manager,train
220,Software Architect,train
221,Systems Administrator,train
222,React Native Developer,train
223,Ruby Developer,test
224,Full Stack Machine Learning Engineer,train
225,React Native Developer,train
226,Ruby Developer,train
227,DevSecOps Engineer,train
228,QA Engineer,train
229,Business Analyst,train
230,Operations Research Analyst,train
231,Software Architect,train
232,Business Intelligence Developer,train
233,IT Auditor,train
234,Machine Learning Engineer,test
235,Graphic Designer,train
236,Automation Engineer,test
237,iOS/Android Cross Platform Developer,train
238,Software Architect,train
239,DevOps Engineer,train
240,Ruby Developer,train
241,Rust Developer,train
242,WordPress Developer,train
243,SEO Specialist,train
244,MLOps Engineer,train
245,Java Developer,train
246,Salesforce Developer,train
247,Full Stack Machine Learning Engineer,train
248,Signal Processing Engineer,train
249,Site Reliability Engineer,train
250,Cloud Security Engineer,train
251,UI/UX Designer,test
252,UI/UX Designer,train
253,Big Data Engineer,train
254,Digital Marketing Tech,train
255,Product Manager,train
256,AR/VR Developer,train
257,iOS/Android Cross Platform Developer,train
258,Data Engineer,train
259,Site Reliability Engineer,train
260,AWS Solutions Architect,train
261,Salesforce Developer,test
262,Product Designer,train
263,Rust Developer,train
264,AWS Solutions Architect,train
265,Product Designer,train
266,Data Engineer,train
267,Ruby Developer,train
268,R Developer,test
269,IT Support Specialist,train
270,QA Engineer,train
