career,samples,accuracy
Site Reliability Engineer,50,0.86
IT Support Specialist,50,0.98
iOS/Android Cross Platform Developer,50,0.98
.NET Developer,50,1.0
AWS Solutions Architect,50,1.0
Android Developer,50,1.0
AI Safety Engineer,50,1.0
AI Engineer,50,1.0
Backend Developer,50,1.0
Big Data Engineer,50,1.0
Blockchain Developer,50,1.0
Business Analyst,50,1.0
Business Intelligence Developer,50,1.0
COBOL Developer,50,1.0
Application Security Engineer,50,1.0
AR/VR Developer,50,1.0
Cloud Engineer,50,1.0
Cloud Security Engineer,50,1.0
Computer Hardware Engineer,50,1.0
Computer Vision Engineer,50,1.0
Computer and Information Research Scientist,50,1.0
Cybersecurity Analyst,50,1.0
Data Analyst,50,1.0
Data Engineer,50,1.0
Data Governance Analyst,50,1.0
Data Scientist,50,1.0
Database Administrator,50,1.0
DevOps Engineer,50,1.0
DevSecOps Engineer,50,1.0
Digital Marketing Tech,50,1.0
CTO,50,1.0
Automation Engineer,50,1.0
Electrical Engineer,50,1.0
Electronics Engineer,50,1.0
Enterprise Architect,50,1.0
Embedded Systems Engineer,50,1.0
Firmware Engineer,50,1.0
Flutter Developer,50,1.0
Frontend Developer,50,1.0
Fintech Developer,50,1.0
Fullstack Developer,50,1.0
Game Developer,50,1.0
Go Developer,50,1.0
GraphQL Developer,50,1.0
Graphic Designer,50,1.0
Helpdesk Technician,50,1.0
IT Auditor,50,1.0
Full Stack Machine Learning Engineer,50,1.0
IT Manager,50,1.0
IoT Developer,50,1.0
IoT Engineer,50,1.0
Java Developer,50,1.0
Kubernetes Engineer,50,1.0
Low Code Developer,50,1.0
MLOps Engineer,50,1.0
Machine Learning Engineer,50,1.0
NLP Engineer,50,1.0
Network Engineer,50,1.0
Network Security Engineer,50,1.0
Operations Research Analyst,50,1.0
PHP Developer,50,1.0
Penetration Tester,50,1.0
ERP Developer,50,1.0
Cloud Data Engineer,50,1.0
Product Designer,50,1.0
Platform Engineer,50,1.0
Product Manager,50,1.0
Prompt Engineer,50,1.0
Quantitative Analyst,50,1.0
R Developer,50,1.0
Python Developer,50,1.0
QA Engineer,50,1.0
Research Scientist (AI),50,1.0
Robotics Engineer,50,1.0
Ruby Developer,50,1.0
Rust Developer,50,1.0
SEO Specialist,50,1.0
SOC Analyst,50,1.0
React Developer,50,1.0
React Native Developer,50,1.0
Scala Developer,50,1.0
Salesforce Developer,50,1.0
Security Engineer,50,1.0
Scrum Master,50,1.0
Site Reliability Engineer (SRE),50,1.0
Software Architect,50,1.0
Solutions Engineer,50,1.0
Signal Processing Engineer,50,1.0
Swift Developer,50,1.0
Systems Administrator,50,1.0
Technical Writer,50,1.0
Technical Project Manager,50,1.0
UI/UX Designer,50,1.0
VLSI Engineer,50,1.0
WordPress Developer,50,1.0
iOS Developer,50,1.0
