Profile_ID,Career,Skills,Education,Experience,Job_Description
Automotive Service Technicians and Mechanics_20,Automotive Service Technicians and Mechanics,"Amcom AUTOS2000, Microsoft Word, Microsoft Edge, Mitchell Manager Invoicing System, Database software, Genisys Fast Fixes, AutoZone ALLDATA, Hunter WinAlign, Mainsaver Asset Management, IBM Notes, Microsoft Office software, Estimating software, Alliance Automotive Shop Controller, Microsoft Excel, Blue Streak Electronics Buell Diagnostic",8.28,11.7,"Diagnose, adjust, repair, or overhaul automotive vehicles."
Web Developers_15,Web Developers,"Amazon Web Services AWS CloudFormation, Amazon Redshift, Advanced business application programming ABAP, Adobe Acrobat, Airtable, Adobe Flex, 3M Post-it App, Amazon Simple Storage Service S3, Amazon Web Services AWS software, Adobe Photoshop, Amazon DynamoDB, Adobe Creative Cloud software, Amazon Elastic Compute Cloud EC2, AJAX, Amazon Kinesis, Adobe ActionScript, Adobe Illustrator",8.41,11.4,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications."
"Hairdressers, Hairstylists, and Cosmetologists_15","Hairdressers, Hairstylists, and Cosmetologists","Microsoft Office software, Sale processing software, Appointment scheduling software, Microsoft Excel, Intuit QuickBooks, Apple iOS, Facebook",8.4,6.9,"Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services."
Photonics Technicians_12,Photonics Technicians,"Autodesk AutoCAD, Dassault Systemes SolidWorks, Data acquisition software, Database software, Facebook, Image processing software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, National Instruments LabVIEW, SAP software, Statistical analysis software, The MathWorks MATLAB, Web browser software, ZEMAX Optical Design Program",8.42,8.4,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment."
Gem and Diamond Workers_13,Gem and Diamond Workers,"Spectrophotometer analysis software, Jewelry design software, Inventory tracking software, GemCad, Web browser software, Gem identification databases",8.16,10.5,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools."
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education_9","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Automate the Schools ATS, Microsoft Outlook, Email software, Loom, Hand held spell checkers, Blackboard software, Children's educational software, ParentSquare, Microsoft Word, Microsoft Excel, Microsoft Office software, Google Classroom, High School Scheduling and Transcript HSST, ClassDojo, Appletree",8.34,8.8,"Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services."
Avionics Technicians_13,Avionics Technicians,"Dassault Systemes CATIA, Microsoft Outlook, Avionics system testing software, Software development tools, Microsoft PowerPoint, Computer diagnostic software, Microsoft Word, Oracle Java, Microsoft Excel, SAP software, Workday software, Autodesk AutoCAD, Maintenance record software, Apache HTTP Server, C++, Technical Data Management System TDMS, Linux, UNIX",8.29,7.1,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
New Accounts Clerks_1,New Accounts Clerks,"Microsoft Word, Financial needs analysis software, IBM Lotus Notes, Harland Financial Solutions DepositPro, DCI iCore, Microsoft Office software, Microsoft Excel, Systems Union Group MIS DecisionWare, Corporate Information Factory CIF, IPS-Sendero Relationship Profitability Manager Catalyst, Microsoft Internet Explorer",8.52,8.2,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.
"Rotary Drill Operators, Oil and Gas_1","Rotary Drill Operators, Oil and Gas","Microsoft Office software, Microsoft Excel, Structure query language SQL, Salesforce software, Drillingsoftware DrillPro, SAP software, Microsoft Word",8.53,9.8,"Set up or operate a variety of drills to remove underground oil and gas, or remove core samples for testing during oil and gas exploration."
"Forestry and Conservation Science Teachers, Postsecondary_8","Forestry and Conservation Science Teachers, Postsecondary","JavaScript, Learning management system LMS, Course management system software, Blackboard Learn, iParadigms Turnitin, Apache Struts, Geographic information system GIS software, Hibernate ORM, Email software, Image scanning software, Microsoft Excel, Electronic data interchange EDI software, Collaborative editing software",8.4,10.0,Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
Exercise Physiologists_6,Exercise Physiologists,"Microsoft Office software, Microsoft PowerPoint, Email software, Microsoft Outlook, Microsoft Excel",8.24,9.6,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility."
"Production, Planning, and Expediting Clerks_15","Production, Planning, and Expediting Clerks","Accvision ABMIS, Epicor Vantage ERP, Creo Synapse Upfront, Applied Software Technologies Asset Maintenance and Materials Management System, Database software, Cost estimating software, Adobe Photoshop, Bills of lading software, Data entry software, Aestiva Purchase Order, Airtable, Asprova, Enterprise Logix, ADi SmartBOL, Adobe InDesign, ABB Production Planning, Adobe Acrobat, DM2 Bills of Lading",8.2,8.8,"Coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems."
Computer User Support Specialists_4,Computer User Support Specialists,"Advanced business application programming ABAP, Adobe Illustrator, Apache Hive, Active directory software, Adobe Creative Cloud software, Apache Ant, Adobe Acrobat, Apache Hadoop, 3M Post-it App, Adobe Photoshop, Adobe Dreamweaver, Adobe Distiller, Ansible software, Adobe InDesign",8.44,9.3,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
Regulatory Affairs Managers_9,Regulatory Affairs Managers,"Adlib Express, Adobe Acrobat, DoubleBridge ROSETTA Sceptre, Document publishing software, DoubleBridge ROSETTA Pyramid, Electronic common technical document eCTD viewing software, Axway eSubmissions, DoubleBridge ROSETTA Scribe, Database software, Dialog DialogLink, Electronic common technical document eCTD validating software, Electronic document management system EDMS, Electronic common technical document eCTD software, Datafarm eCTDViewer, Datafarm S-Cubed, Datafarm eCTDGatekeeper, Analyse-it, DoubleBridge ROSETTA Phoenix eCTD Viewer, Aris Global Register",8.25,9.7,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
Radio Frequency Identification Device Specialists_8,Radio Frequency Identification Device Specialists,"Abbott, ANSYS simulation software, C, C#, C++, CppUnit, Cygwin, Dassault Systemes SolidWorks, Device driver software, Dynamic host configuration protocol DHCP, ESRI ArcGIS software, Extensible markup language XML, Field programmable gate array FPGA design software, FitNesse, Forsk Atoll, Framework for integrated test FIT, IBM Notes, JUnit, Linux, Magellan Firmware",8.35,8.9,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.
Facilities Managers_10,Facilities Managers,"Adobe Acrobat, Adobe PageMaker, ADP Enterprise HR, ADP Workforce Now, Autodesk AutoCAD, Autodesk Revit, Blackbaud The Raiser's Edge, Delphi Technology, Email software, FileMaker Pro, Fund accounting software, Google Docs, Google Drive, Google Workspace software, GroupMe, Human resource management software HRMS, IBM Maximo Asset Management, IBM Notes, IBM Power Systems software, Intuit QuickBooks",8.23,9.9,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus."
First-Line Supervisors of Office and Administrative Support Workers_12,First-Line Supervisors of Office and Administrative Support Workers,"Evernote, Bookkeeping software, Data entry software, Citrix cloud computing software, GroupMe, Blackbaud The Raiser's Edge, Fund accounting software, FileMaker Pro, ADP Workforce Now, Adobe Acrobat, Dropbox, Apple macOS, Delphi Technology, Facebook, Blackboard software, Google Docs",7.88,9.9,Directly supervise and coordinate the activities of clerical and administrative support workers.
Licensed Practical and Licensed Vocational Nurses_12,Licensed Practical and Licensed Vocational Nurses,"MEDITECH software, FaceTime, MedicWare EMR, Google Drive, Microsoft Word, Electronic medical record EMR software, Microsoft Windows, Microsoft Office software, Medical procedure coding software, Diagnostic and procedural coding software, PointClickCare healthcare software, Epic Systems, Microsoft Outlook",8.37,5.7,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required."
Word Processors and Typists_12,Word Processors and Typists,"Corel WordPerfect Office Suite, Microsoft Outlook, Microsoft Publisher, Microsoft Access, Oracle PeopleSoft, Microsoft SharePoint, Google Workspace software, SAP software, Adobe Acrobat, IBM Notes, Act!, Microsoft Visio, Microsoft Word, FileMaker Pro",8.22,10.3,"Use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned."
Farm Equipment Mechanics and Service Technicians_13,Farm Equipment Mechanics and Service Technicians,"Computerized maintenance management system CMMS, ServiceMax, Microsoft Word, Microsoft Excel, Microsoft Outlook, FarmLogic FarmPAD",8.32,8.7,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems."
Occupational Therapists_19,Occupational Therapists,"FileMaker Pro, Email software, Math educational software, Microsoft Excel, Facebook, Lexrotech LxPediatric, Casamba Smart, Microsoft Word, OpenOffice WRITER, Fifth Walk BillingTracker, Language arts educational software, HMS, Mayer-Johnson Boardmaker, eClinicalWorks EHR software, Microsoft Office software, Duxbury Braille Translator, Crick Software Clicker 4",8.0,7.8,"Assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays. Use therapeutic techniques, adapt the individual's environment, teach skills, and modify specific tasks that present barriers to the individual."
Marine Engineers and Naval Architects_9,Marine Engineers and Naval Architects,"Bentley STAAD, McNeel Rhinoceros 3D, Herbert Software Solutions HECSALV, MAYA Nastran, Dassault Systemes SolidWorks, Ansys Fluent, Autodesk AutoCAD, Microsoft Office software, Adobe Acrobat, Autodesk Algor Simulation, Intergraph SmartMarine 3D, IBM Lotus 1-2-3, Creative System GHS, ANSYS ASAS",8.53,9.7,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
