row_index,career,tsne_x,tsne_y
5776,.NET Developer,4.8016667,4.297684
6371,.NET Developer,4.3305125,4.164324
9626,.NET Developer,4.5163746,4.516644
11697,.NET Developer,4.5760202,4.2720537
14739,.NET Developer,4.770059,4.366737
35026,.NET Developer,4.905646,4.467697
36435,.NET Developer,4.692535,4.588969
36534,.NET Developer,4.509123,4.2159414
38152,.NET Developer,4.659398,4.279189
42932,.NET Developer,4.637558,4.169642
7013,AI Engineer,-6.663121,14.56431
10698,AI Engineer,-6.8371654,14.833812
16920,AI Engineer,-6.899139,14.743202
21346,AI Engineer,-6.5679817,14.907959
29510,AI Engineer,-6.451176,14.57044
32976,AI Engineer,-6.6047454,14.712355
38287,AI Engineer,-6.321645,14.659574
41756,AI Engineer,-6.814414,15.06641
43619,AI Engineer,-6.6272492,14.741813
47937,AI Engineer,-6.723912,15.076386
2570,AI Safety Engineer,-15.822891,11.782617
10230,AI Safety Engineer,-15.900167,11.311818
23725,AI Safety Engineer,-15.991543,11.397496
24673,AI Safety Engineer,-15.555932,11.625076
40013,AI Safety Engineer,-15.68575,11.800986
41169,AI Safety Engineer,-15.729507,11.808895
42998,AI Safety Engineer,-15.8430605,11.481031
43469,AI Safety Engineer,-15.613438,11.429069
44302,AI Safety Engineer,-15.58167,11.416898
44758,AI Safety Engineer,-15.93058,11.563998
4379,AR/VR Developer,-17.320147,-15.17153
7363,AR/VR Developer,-17.409632,-15.266314
16950,AR/VR Developer,-17.733683,-15.21419
19630,AR/VR Developer,-17.591612,-15.460446
27766,AR/VR Developer,-17.57568,-14.910219
29233,AR/VR Developer,-17.438564,-15.186644
30373,AR/VR Developer,-17.727839,-15.15769
36763,AR/VR Developer,-17.551075,-15.105036
39665,AR/VR Developer,-17.542278,-14.862171
41683,AR/VR Developer,-17.680254,-15.330622
2534,AWS Solutions Architect,13.240161,-5.2845173
7465,AWS Solutions Architect,12.913173,-5.3307695
8813,AWS Solutions Architect,13.137254,-5.5059137
22450,AWS Solutions Architect,13.145843,-5.325179
27836,AWS Solutions Architect,13.204351,-5.6120625
